,ticker,1Y,5Y
0,ALE,22.80534,-26.11092
0,ALEC,-10.48544,-69.28714
0,ALEX,16.85897,-27.51491
0,ALG,5.46726,41.862
0,ALGT,-11.8743,-58.56162
0,ALHC,46.76966,-39.63027
0,ALIT,5.30191,-31.25
0,ALKS,13.42612,50.51602
0,ALKT,111.92457,-11.13953
0,ALLO,0.71942446,-89.97494
0,ALMS,-5.41353,-5.41353
0,ALNT,-33.47969,-51.23391
0,ALRM,-2.02703,9.60163
0,ALRS,31.17978,9.52158
0,ALT,222.42991,248.48485
0,ALTG,-41.7734,-40.06085
0,ALTI,-37.55943,-59.54825
0,ALTM,-12.10191,88.3959
0,ALTR,57.27032,175.4848
0,ALX,28.63483,-36.38132
0,ALXO,-78.37058,-95.0
0,AMAL,115.0,95.67972
0,AMBA,18.28135,5.82147
0,AMBC,3.70697,-41.80287
0,AMBP,62.25681,-58.3
0,AMC,-53.16594,-95.34707
0,AMCX,-34.52991,-83.9008
0,AMN,-45.89313,-31.92916
0,AMPH,13.64043,154.22711
0,AMPL,-12.68293,-83.66788
0,AMPS,-29.21569,-65.58627
0,AMPX,-50.32258,-84.6
0,AMPY,-8.65922,-2.38806
0,AMR,-5.38458,795.74468
0,AMRC,7.70848,108.54817
0,AMRK,44.4406,647.31183
0,AMRX,152.08333,186.14865
0,AMSC,309.09091,179.92958
0,AMSF,-2.44648,-22.05254
0,AMTB,19.08353,6.53866
0,AMTX,-34.92408,200.0
0,AMWD,45.3471,0.0411904
0,ANAB,101.42369,-3.67647
0,ANDE,-3.01168,164.46927
0,ANF,166.61664,890.03096
0,ANGO,-1.35747,-55.57065
0,ANIK,31.39785,-57.10023
0,ANIP,4.25607,-21.87665
0,ANNX,345.2381,-57.88288
0,ANRO,-30.96618,-30.96618
0,AOMR,19.60543,-47.98928
0,AORT,99.55056,11.0
0,AOSL,43.90244,185.33541
0,APAM,38.02432,70.90704
0,APEI,214.22222,-35.52212
0,APGE,238.14236,149.50542
0,APLD,79.95868,13099.56961
0,APLE,-3.22789,-9.15152
0,APLT,259.6,-40.06667
0,APOG,86.69048,108.03927
0,APPN,-23.75215,-26.06104
0,APPS,-34.77366,-53.10651
0,AQST,251.06383,55.66038
0,ARAY,-31.22677,-31.98529
0,ARCB,8.20055,233.63904
0,ARCH,-3.40948,80.53972
0,ARCT,8.01862,110.90909
0,ARDT,16.18929,16.18929
0,ARDX,69.9422,19.7556
0,ARHS,4.50867,-29.375
0,ARI,-7.15048,-54.4741
0,ARIS,95.90361,13.70629
0,ARKO,-10.05291,-30.96447
0,ARL,10.01553,-1.52884
0,ARLO,28.52311,235.29412
0,AROC,63.80417,109.97942
0,AROW,57.85634,-6.2958
0,ARQ,244.97041,-58.29757
0,ARQT,244.09938,-61.88073
0,ARR,31.72823,-76.46435
0,ARRY,-63.02798,-81.50892
0,ARTV,-12.66667,-12.66667
0,ARVN,77.04467,61.70747
0,ARWR,-17.01094,-43.86301
0,ASAN,-34.20054,-57.84722
0,ASB,41.50096,6.67311
0,ASC,26.52905,94.47709
0,ASGN,18.41302,51.39002
0,ASIX,7.32869,28.01573
0,ASLE,-64.05934,-46.7
0,ASO,24.97144,321.09315
0,ASPI,352.33645,81.27341
0,ASPN,219.7901,257.88591
0,ASTE,-23.32687,1.11928
0,ASTH,94.34206,302.3427
0,ASTS,908.75912,182.90686
0,ASUR,15.13707,15.0
0,ATEC,-58.41738,-2.36794
0,ATEN,29.29653,115.75037
0,ATEX,7.77888,-18.35507
0,ATGE,69.59092,97.84828
0,ATKR,-29.96709,159.95232
0,ATLC,26.93103,355.00618
0,ATLO,13.75905,-38.28571
0,ATMU,99.03846,81.66282
0,ATNI,-4.63517,-44.05263
0,ATNM,-67.03704,-71.91986
0,ATOS,119.69697,-16.18497
0,ATRC,-19.42405,7.86092
0,ATRO,21.8123,-35.12582
0,ATSG,-17.34694,-21.09109
0,ATXS,140.08529,-60.49123
0,AUB,30.5806,-3.67119
0,AUPH,-0.96685083,47.22793
0,AUR,235.55556,-39.5994
0,AURA,37.05882,-21.28378
0,AVA,21.96141,-21.1926
0,AVAH,320.0,-56.25
0,AVAV,87.82794,280.38641
0,AVBP,43.55,43.55
0,AVD,-43.16997,-59.41921
0,AVDL,27.68792,288.98551
0,AVDX,-3.56745,-65.31676
0,AVIR,23.7931,-88.16744
0,AVNS,26.14451,-44.95788
0,AVNT,54.07874,54.2731
0,AVNW,-10.97372,231.98847
0,AVO,26.78002,-13.55072
0,AVPT,63.1935,23.31288
0,AVTE,-78.78513,-89.75033
0,AVXL,8.13492,96.04317
0,AWR,10.52838,-10.33023
0,AX,76.07694,116.92256
0,AXGN,238.04627,3.29929
0,AXL,-11.77305,-27.25146
0,AXNX,33.08086,237.72225
0,AXSM,47.55685,315.53134
0,AZZ,72.97839,96.83143
0,B,47.09229,-13.49442
0,BAER,-11.33005,-62.8483
0,BALY,102.20674,-26.34347
0,BANC,31.32209,-1.46471
0,BAND,99.89463,-67.57819
0,BANF,32.83455,84.41142
0,BANR,58.59701,16.29496
0,BARK,46.07843,-87.98387
0,BASE,14.44816,-43.71711
0,BATRA,14.78703,52.00426
0,BATRK,17.19801,42.85205
0,BBAI,31.06061,-82.40081
0,BBCP,-24.90119,61.01695
0,BBIO,3.79538,35.05099
0,BBSI,66.95298,65.161
0,BBUC,56.32399,-10.39286
0,BBW,46.66403,989.44282
0,BCAL,2.89017,23.82609
0,BCBP,24.61696,-6.15385
0,BCC,51.33889,290.09901
0,BCML,22.579,6.98399
0,BCO,57.02894,23.19277
0,BCPC,37.6487,66.03662
0,BCRX,30.55556,213.33333
0,BDC,68.73747,118.41764
0,BDN,65.80311,-56.46259
0,BDTX,57.35294,-91.8693
0,BE,-12.26667,235.71429
0,BEAM,21.20419,23.46667
0,BECN,32.68038,181.71753
0,BELFB,104.57884,504.99638
0,BFC,22.44299,31.64158
0,BFH,74.7817,-49.71865
0,BFS,17.372,-28.13916
0,BFST,38.22076,1.77922
0,BGC,58.2906,61.60558
0,BGS,1.09091,-48.39109
0,BH,13.19684,97.36098
0,BHB,25.89173,16.73152
0,BHE,85.68943,38.11064
0,BHLB,43.6019,-12.08897
0,BHR,14.07407,-66.73866
0,BHRB,35.13213,7.69912
0,BHVN,91.21043,13.91169
0,BIGC,-38.58521,-92.0714
0,BIPC,46.77529,99.35454
0,BJRI,48.72864,0.79096045
0,BKD,69.27224,-25.85596
0,BKE,26.23662,105.07519
0,BKH,25.87209,-22.80657
0,BKSY,-37.40234,-91.82398
0,BKU,63.85261,3.17181
0,BL,9.34866,20.04206
0,BLBD,142.74767,128.60825
0,BLDE,72.09302,-62.05128
0,BLFS,135.7582,36.23446
0,BLFY,31.35705,-22.71318
0,BLKB,26.45285,-1.63653
0,BLMN,-28.88024,-10.40305
0,BLND,175.20661,-84.06699
0,BLNK,-12.80992,-10.97046
0,BLUE,-82.75,-99.16152
0,BLX,50.57366,65.62342
0,BLZE,45.70312,-62.51256
0,BMBL,-46.26755,-89.66008
0,BMEA,6.64137,-33.88235
0,BMI,50.53462,250.63552
0,BMRC,25.24956,-49.96481
0,BNL,31.00499,12.76074
0,BOC,1.51307,-25.8664
0,BOH,35.68439,-25.41417
0,BOLD,30299900.0,-88.8521
0,BOOM,-33.38485,-68.06619
0,BOOT,123.63952,348.41823
0,BORR,-24.66568,-61.59091
0,BOW,28.40336,28.40336
0,BOX,32.80534,99.87453
0,BPMC,93.90713,8.80783
0,BPRN,24.03714,27.00704
0,BRCC,29.45736,-66.02238
0,BRKL,20.83818,-32.11249
0,BRSP,-2.91971,-62.77117
0,BRT,2.4024,1.73031
0,BRY,-37.25962,-45.51148
0,BRZE,-27.42844,-66.88082
0,BSIG,59.82906,169.61895
0,BSRR,49.11243,3.82022
0,BSVN,92.81492,134.25414
0,BTBT,88.58447,776.85775
0,BTMD,3.4,-48.55721
0,BTSG,46.27273,46.27273
0,BTU,-1.07871,62.04188
0,BUR,10.00807,27.86116
0,BUSE,30.62731,-2.5177
0,BV,132.72472,-7.89327
0,BVS,304.44444,-33.68037
0,BWB,60.04343,19.8374
0,BWFG,17.36024,-0.46345811
0,BWIN,77.58563,77.58563
0,BWMN,-19.22058,52.5
0,BXC,47.1,202.85294
0,BXMT,-5.47112,-48.70808
0,BY,37.58639,42.90447
0,BYND,0.0,-94.28857
